Digital Realty Chicago,10,US,Chicago,ix.digitalrealty.com
Equinix Helsinki,10,FI,Helsinki,www.equinix.fi
MonctonIX,10,CA,Moncton,monctonix.ca
IXP.MX,10,MX,Mexico City,www.ixp.mx
Equinix Madrid,10,ES,Madrid,ix.equinix.com
Sejong Neutral-IX,10,KR,Seoul,www.sejongtelecom.net
iX-OKC,10,US,Oklahoma City,www.iX-OKC.net
GABIX,10,GA,Libreville,www.gabix.ga
CSIX,10,CA,Vancouver,cloudsingularity.exchange
IX.br (PTT.br) Campo Grande,10,BR,Campo Grande,ix.br
OCIX-NZ,10,NZ,Auckland,www.oceanix.net.au
OCIX-QLD,10,AU,Brisbane,www.oceanix.net.au
OCIX-VIC,10,AU,Melbourne,www.oceanix.net.au
OCIX-WA,10,AU,Perth,www.oceanix.net.au
SIEX,10,IT,Roma,c1vhosting.it
