1280,15,8,7,0,ISC-AS-1280,"Internet Systems Consortium, Inc.",US,41.08144,-81.51901
1290,8,2,4,2,TelstraEuropeLtd-Backbone,Telstra Europe Ltd,EU,0.0,0.0
1292,2,1,0,1,,Instituto Tecnológico y de Estudios Superiores de Monterrey,MX,26.4763,-100.367
1299,18,8,7,3,TELIANET,Telia Company AB,EU,0.0,0.0
1312,3,0,0,3,VA-TECH-AS,Virginia Polytechnic Institute and State Univ.,US,41.08144,-81.51901
1321,6,0,5,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1322,2,0,1,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1323,9,9,0,0,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1324,8,0,7,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1325,11,1,10,0,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1326,8,0,7,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1327,11,1,10,0,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1328,3,1,1,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1329,1,0,0,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1330,4,0,3,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1331,4,1,2,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1332,6,0,5,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1333,2,0,1,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1334,6,0,5,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1335,7,0,6,1,ANSBB-ASNNET-1,Advanced Networks & Services Inc.,US,41.08144,-81.51901
1341,1,0,0,1,ROCKWELLCOLLINS-AS,"Rockwell Collins, Inc.",US,41.08144,-81.51901
1342,1,0,0,1,,Fujitsu Invia Finland IP-network,EU,0.0,0.0
1347,7,0,6,1,VOYANT-LAB,"Inteliquent, inc.",US,41.08144,-81.51901
1461,1,0,0,1,DNIC-AS-01461,"Headquarters, USAISC",US,41.08144,-81.51901
1556,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1559,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1562,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1564,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1565,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1568,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1569,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1570,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1573,1,1,0,0,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1589,2,1,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1591,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1601,1,0,0,1,DNIC-ASBLK-01550-01601,DoD Network Information Center,US,41.08144,-81.51901
1653,8,2,5,1,SUNET,SUNET Swedish University Network,EU,0.0,0.0
1657,1,0,0,1,LOUISVILLE,University of Louisville,US,41.08144,-81.51901
1659,1,0,0,1,ERX-TANET-ASN1,"Education Bureau, Kaohsiung City Government, Taiwan",TW,25.04776,121.53185
1660,2,0,0,2,ANS-CORP-NY,ANS Communications,US,41.08144,-81.51901
1661,1,0,0,1,ANS-ATLANTA,ANS Communications,US,41.08144,-81.51901
1662,2,0,1,1,VFN-BACKBONE,ANS Communications,US,41.08144,-81.51901
1664,2,0,1,1,AOL-CORP,Oath Holdings Inc.,US,41.08144,-81.51901
1667,3,1,1,1,ANS-DC2,ANS Communications,US,41.08144,-81.51901
1668,1,0,0,1,AOL-ATDN,Oath Holdings Inc.,US,41.08144,-81.51901
1670,2,0,1,1,ANS-UK,ANS Communications,US,41.08144,-81.51901
1672,1,0,0,1,ANS-CHICAGO,ANS Communications,US,41.08144,-81.51901
1673,69,37,31,1,ANS-BB,ANS Communications,US,41.08144,-81.51901
1674,1,0,0,1,ANS-SANFRAN,ANS Communications,US,41.08144,-81.51901
1675,4,0,3,1,ANS-NY2-AS,ANS Communications,US,41.08144,-81.51901
1677,3,0,2,1,ANS-NY3-AS,ANS Communications,US,41.08144,-81.51901
1678,1,0,0,1,DOW,The Dow Chemical Company,US,41.08144,-81.51901
1679,1,0,0,1,FICO-AS,Fair Isaac Corporation,US,41.08144,-81.51901
1680,2,0,0,2,NV-ASN,Cellcom Fixed Line Communication L.P.,IL,32.0592,34.7631
